point.x,point.y,,hull points.x,hull points.y
-68,22,,-203,-99
-72,21,,-185,-98
-72,21,,65,-35
-72,21,,83,-19
-72,21,,75,-14
-52,16,,-68,22
-71,15,,-72,21
-68,6,,-72,21
-22,0,,-72,21
-22,0,,-72,21
-67,-2,,-72,21
-28,-2,,-72,21
-9,-2,,,
-7,-2,,,
-56,-3,,,
-53,-5,,,
-34,-5,,,
-34,-5,,,
-65,-6,,,
-59,-6,,,
-24,-8,,,
-70,-9,,,
-70,-9,,,
-69,-9,,,
-68,-9,,,
-50,-9,,,
-17,-9,,,
-56,-11,,,
-61,-12,,,
3,-12,,,
29,-12,,,
-19,-13,,,
-11,-13,,,
18,-13,,,
38,-13,,,
44,-13,,,
51,-14,,,
53,-14,,,
70,-14,,,
75,-14,,,
-31,-15,,,
-22,-15,,,
-22,-15,,,
6,-15,,,
19,-16,,,
30,-16,,,
38,-16,,,
41,-16,,,
49,-16,,,
54,-16,,,
56,-16,,,
-40,-17,,,
5,-17,,,
12,-17,,,
58,-17,,,
60,-17,,,
65,-17,,,
57,-18,,,
80,-18,,,
80,-18,,,
83,-19,,,
-46,-20,,,
57,-20,,,
68,-20,,,
70,-20,,,
80,-20,,,
19,-21,,,
-51,-22,,,
57,-22,,,
58,-22,,,
-54,-23,,,
52,-24,,,
57,-24,,,
54,-25,,,
54,-25,,,
58,-25,,,
68,-25,,,
-61,-26,,,
37,-26,,,
62,-26,,,
62,-27,,,
64,-27,,,
-66,-28,,,
61,-28,,,
65,-28,,,
-69,-30,,,
-72,-31,,,
-30,-31,,,
-18,-31,,,
-74,-32,,,
-37,-32,,,
-12,-32,,,
0,-32,,,
-45,-33,,,
-59,-34,,,
-52,-34,,,
65,-35,,,
54,-36,,,
25,-37,,,
43,-37,,,
-81,-39,,,
-79,-39,,,
-71,-39,,,
-83,-40,,,
-74,-41,,,
-64,-43,,,
-182,-96,,,
-185,-98,,,
-203,-99,,,
